Organization ID,Organization Name,Reg Form,Signatory,T&C,Org Type,Callink Page,OASIS RSO Designation,OASIS Center Advisor 
91698,Kappa Alpha Theta,Not Started,1,In Progress,CalGreeks,https://callink.berkeley.edu/actioncenter/organization/kappaalphatheta,LEAD Center Category: CalGreeks Panhellenic Council (PHC) Sororities,Jeff Woods atjeff.woods@berkeley.edu
91371,Kappa Delta Rho,Not Started,4,In Progress,CalGreeks,https://callink.berkeley.edu/actioncenter/organization/kappadeltarho,LEAD Center Category: CalGreeks Interfraternity Council (IFC) Fraternities,CalGreeks Advisor Jeffery Woods at jeff.woods@berkeley.edu
45983,Kappa Gamma Delta,Approved,6,Yes,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/kgd,LEAD Center Category: Professional RSO,Jon Rey at jonrey@berkeley.edu
91699,Kappa Kappa Gamma,Not Started,0,In Progress,CalGreeks,https://callink.berkeley.edu/actioncenter/organization/kappakappagamma,LEAD Center Category: CalGreeks Panhellenic Council (PHC) Sororities,Jeff Woods atjeff.woods@berkeley.edu
92109,KAPWA - IVCF,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/kapwa-ivcf,LEAD Center Category: Spiritual RSO,Luly Sbeta at wsbeta@berkeley.edu
92110,Karisma,Approved,4,In Progress,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/karisma,LEAD Center Category: Spiritual RSO,Luly Sbeta at wsbeta@berkeley.edu
91530,Kazakhstani Student Association,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/kazakhstanistudentassociation,LEAD Center Category: Cultural & Identity/International RSO,Melissa Landeros at melissalanderos@berkeley.edu
362003,Keebs at Berkeley,Approved,4,In Progress,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/keebs,LEAD Center Category: Recreational RSO,Millicent Morris-Chaney at millicen@berkeley.edu
137576,Kendama Klub,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/kendama,LEAD Center Category: Recreational RSO,Millicent Morris-Chaney at millicen@berkeley.edu
46627,Kendo Club,Approved,10,Yes,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/kendoclub,LEAD Center Category: Recreational RSO,Millicent Morris-Chaney at millicen@berkeley.edu
342064,Kerusso Fellowship,Approved,6,Yes,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/kerusso,LEAD Center Category: Spiritual RSO,Luly Sbeta at wsbeta@berkeley.edu
45985,Kesher Enoshi: Progressives for Activism in Israel,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/kesherenoshi,LEAD Center Category: Political & Advocacy RSO,Millicent Morris-Chaney at millicen@berkeley.edu
340853,Kickboxing at Berkeley,Approved,4,In Progress,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/kickboxing,LEAD Center Category: Recreational RSO,Millicent Morris-Chaney at millicen@berkeley.edu
135415,Kidney Disease Screening and Awareness Program,Approved,4,Yes,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/kdsap,LEAD Center Category: Service RSO,Emily Enriquez at emilyenriquez@berkeley.edu
378049,Kids Enjoy Exercise Now at Berkeley,Approved,4,Yes,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/KEENatBerkeley,LEAD Center Category: Service RSO,Emily Enriquez at emilyenriquez@berkeley.edu
164473,Kids in Nutrition,Approved,4,Yes,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/KIN,LEAD Center Category: Service RSO,Emily Enriquez at emilyenriquez@berkeley.edu
135416,Kind Aid and Resources for the Elderly,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/KARE,LEAD Center Category: Service RSO,Emily Enriquez at emilyenriquez@berkeley.edu
221833,Kindness at Berkeley,Approved,4,Yes,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/kindnessatberkeley,LEAD Center Category: Recreational RSO,Millicent Morris-Chaney at millicen@berkeley.edu
137708,Kink Club,Approved,4,Yes,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/kinkclub,LEAD Center Category: Recreational RSO,Millicent Morris-Chaney at millicen@berkeley.edu
164807,KiwiCampus,Not Started,0,In Progress,NEW ORG PENDING FINAL COMPLETION OF APPROVAL STEPS,https://callink.berkeley.edu/actioncenter/organization/KiwiCampus,LEAD Center Category: Cultural & Identity/International RSO,Melissa Landeros at melissalanderos@berkeley.edu
56669,Klesis,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/klesis,LEAD Center Category: Spiritual RSO,Luly Sbeta at wsbeta@berkeley.edu
324691,kmoverse,Inprogress,1,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/kmoverse,LEAD Center Category: Engineering/Computer Science RSO,Melissa Landeros at melissalanderos@berkeley.edu
91935,Knights of the Square Table,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/KnightsoftheSquareTable,LEAD Center Category: Recreational RSO,Millicent Morris-Chaney at millicen@berkeley.edu
91531,Kojobs at Berkeley,Approved,5,Yes,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/kojobs,LEAD Center Category: Professional RSO,Jon Rey at jonrey@berkeley.edu
91725,Kol Hadov,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/kolhadov,LEAD Center Category: Performing Arts RSO,Luly Sbeta at wsbeta@berkeley.edu
91532,Kollab at Berkeley,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/kollab,LEAD Center Category: Cultural & Identity/International RSO,Melissa Landeros at melissalanderos@berkeley.edu
343540,Koncept,Not Started,0,In Progress,NEW ORG PENDING FINAL COMPLETION OF APPROVAL STEPS,https://callink.berkeley.edu/actioncenter/organization/Koncept,LEAD Center Category: Engineering/Computer Science RSO,Jon Rey at jonrey@berkeley.edu
46592,Korea Campus Crusade for Christ,Approved,4,Yes,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/ucbkccc,LEAD Center Category: Spiritual RSO,Luly Sbeta at wsbeta@berkeley.edu
45995,Korean American Student Association,Approved,4,Yes,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/koreanamericanstudentassociation,LEAD Center Category: Cultural & Identity/Cultural & Ethnic RSO,Melissa Landeros at melissalanderos@berkeley.edu
159286,Korean Business Society,Not Started,0,In Progress,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/KoreanBusinessSociety,LEAD Center Category: Professional RSO,Jon Rey at jonrey@berkeley.edu
45997,Korean Chamber Ensemble,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/koreanchamberensemble,LEAD Center Category: Performing Arts RSO,Luly Sbeta at wsbeta@berkeley.edu
222006,Korean Christian Biblical & Theological Studies,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/koreanchristianbiblicalandtheological,LEAD Center Category: Spiritual RSO,Luly Sbeta at wsbeta@berkeley.edu
91430,Korean Christian Fellowship,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/koreanchristianfellowship,LEAD Center Category: Spiritual RSO,Luly Sbeta at wsbeta@berkeley.edu
92090,Korean Compassion at Berkeley,Approved,5,Yes,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/koreancompassion,LEAD Center Category: Service RSO,Emily Enriquez at emilyenriquez@berkeley.edu
46752,Korean Graduate Students Association,Approved,4,In Progress,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/KGSA,LEAD Center Category: Graduate Student RSO,Jon Rey (Grad RSO OASIS Advisor) at jonrey@berkeley.edu
144500,Korean International Media Press Group at Berkeley,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/Kalfocus,LEAD Center Category: Media & Publications RSO,Melissa Landeros at melissalanderos@berkeley.edu
343728,Korean Juris Doctors (Formerly Global Student Association at Berkeley Law),Approved,4,Yes,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/K-JD,LEAD Center Category: Graduate Student RSO,Jon Rey (Grad RSO OASIS Advisor) at jonrey@berkeley.edu
59417,Korean Performance Group,Approved,7,Yes,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/kpg,LEAD Center Category: Performing Arts RSO,Luly Sbeta at wsbeta@berkeley.edu
162583,Korean Pre-Health Association,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/koha,OASIS Center Category: Academic RSO,Jon Rey at jonrey@berkeley.edu
82994,Korean Student Organizations,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/KoreanStudentOrganizations,LEAD Center Category: Cultural & Identity/Cultural & Ethnic RSO,Melissa Landeros at melissalanderos@berkeley.edu
129701,Korean Tennis Club,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/koreantennisclub,LEAD Center Category: Recreational RSO,Millicent Morris-Chaney at millicen@berkeley.edu
46570,Korean Undergraduate Networking Association,Approved,6,Yes,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/KUNA,LEAD Center Category: Cultural & Identity/International RSO,Melissa Landeros at melissalanderos@berkeley.edu
302883,Korean Volleyball Association,Not Started,0,In Progress,NEW ORG PENDING FINAL COMPLETION OF APPROVAL STEPS,https://callink.berkeley.edu/actioncenter/organization/koreanvolleyballassociation,LEAD Center Category: Recreational RSO,Millicent Morris-Chaney at millicen@berkeley.edu
56667,Korean-American Scientists and Engineers Association (Silicon Valley Chapter),Approved,5,Yes,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/ksea,LEAD Center Category: Engineering/Computer Science RSO,Jon Rey at jonrey@berkeley.edu
361214,Koreans 4 Decolonization,Approved,4,In Progress,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/koreans4decolonization,LEAD Center Category: Cultural & Identity/Cultural & Ethnic RSO,Melissa Landeros at melissalanderos@berkeley.edu
292035,KOSMOS,Approved,4,Yes,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/KOSMOS,LEAD Center Category: Performing Arts RSO,Luly Sbeta at wsbeta@berkeley.edu
46691,K-Popular at Berkeley,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/kpopular,LEAD Center Category: Cultural & Identity/Cultural & Ethnic RSO,Melissa Landeros at melissalanderos@berkeley.edu
46386,Kroeber Anthropological Society,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/gakroeberanthropologicalsociety,LEAD Center Category: Media & Publications RSO,Jon Rey (Grad RSO OASIS Advisor) at jonrey@berkeley.edu
362024,KSpace,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/kspace,LEAD Center Category: Performing Arts RSO,Luly Sbeta at wsbeta@berkeley.edu
358443,L.Y.S Dance,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/LYSDance,LEAD Center Category: Performing Arts RSO,Emily Enriquez at emilyenriquez@berkeley.edu
302476,L2S@Berkeley,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/l2s,LEAD Center Category: Health & Wellness RSO (moving to various),Millicent Morris-Chaney at millicen@berkeley.edu
46361,La Alianza: Law Students of Latin American Descent (Formerly La Raza Law Students Association),Approved,4,Yes,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/laalianza,LEAD Center Category: Graduate Student RSO,Jon Rey (Grad RSO OASIS Advisor) at jonrey@berkeley.edu
236583,La Campanella,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/LaCampanella,LEAD Center Category: Spiritual RSO,Luly Sbeta at wsbeta@berkeley.edu
117755,La Clinica Student Alliance at Berkeley,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/lcsa,LEAD Center Category: Service RSO,Emily Enriquez at emilyenriquez@berkeley.edu
378439,La Coalicin,Not Started,0,In Progress,NEW ORG PENDING FINAL COMPLETION OF APPROVAL STEPS,https://callink.berkeley.edu/actioncenter/organization/LaCoalicion,LEAD Center Category: Graduate Student RSO,Jon Rey (Grad RSO OASIS Advisor) at jonrey@berkeley.edu
164255,La Dolce Vita Italian Studies Club,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/ladolcevita,LEAD Center Category: Cultural & Identity/International RSO,Melissa Landeros at melissalanderos@berkeley.edu
91533,La Fe - IVCF,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/lafe-ivcf,LEAD Center Category: Spiritual RSO,Luly Sbeta at wsbeta@berkeley.edu
46359,La Raza Law Journal Symposium,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/galarazalawjournalsymposium,OASIS Center Category: Academic RSO,Jon Rey (Grad RSO OASIS Advisor) at jonrey@berkeley.edu
46354,La Raza Law Journal,Approved,4,Yes,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/galarazalawjournal,LEAD Center Category: Graduate Student RSO,Jon Rey (Grad RSO OASIS Advisor) at jonrey@berkeley.edu
46557,La Raza Workers' and Tenants' Rights Clinic,Not Started,0,In Progress,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/galarazaworkersrightsclinic,LEAD Center Category: Graduate Student RSO,Jon Rey (Grad RSO OASIS Advisor) at jonrey@berkeley.edu
46115,La Voz de Berkeley,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/lavozdeberkeley,LEAD Center Category: Media & Publications RSO,Melissa Landeros at melissalanderos@berkeley.edu
46154,Labor Coach Program,Approved,4,Yes,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/laborcoachprogram,LEAD Center Category: Service RSO,Emily Enriquez at emilyenriquez@berkeley.edu
56201,Labor Justice Project,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/LaborJusticeProject,LEAD Center Category: Service RSO,Emily Enriquez at emilyenriquez@berkeley.edu
46467,Laboratory for the Study of Interaction and Discourse in Education Research,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/galaboratoryforthestudyofinteractionanddiscourseineducationresearch,OASIS Center Category: Academic RSO,Jon Rey (Grad RSO OASIS Advisor) at jonrey@berkeley.edu
220491,Ladki Love,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/ladkilove,LEAD Center Category: Service RSO,Emily Enriquez at emilyenriquez@berkeley.edu
343537,LAHBA at Haas,Approved,5,Yes,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/LAHBAatHaas,LEAD Center Category: Graduate Student RSO,Jon Rey (Grad RSO OASIS Advisor) at jonrey@berkeley.edu
46155,"Lambda Theta Alpha Latin Sorority, Inc.",Not Started,4,In Progress,CalGreeks,https://callink.berkeley.edu/actioncenter/organization/lambdathetaalpha,LEAD Center Category: CalGreeks Multicultural Greek Council (MCGC) Fraternities & Sororities,Jeff Woods atjeff.woods@berkeley.edu
46156,"Lambda Theta Nu Sorority, Inc.",Not Started,4,In Progress,CalGreeks,https://callink.berkeley.edu/actioncenter/organization/lambdathetanu,LEAD Center Category: CalGreeks Multicultural Greek Council (MCGC) Fraternities & Sororities,Jeff Woods atjeff.woods@berkeley.edu
46158,"Lambda Theta Phi, Latin Fraternity, Inc.",Not Started,5,In Progress,CalGreeks,https://callink.berkeley.edu/actioncenter/organization/lambdathetaphi,LEAD Center Category: CalGreeks Multicultural Greek Council (MCGC) Fraternities & Sororities,Jeff Woods atjeff.woods@berkeley.edu
56135,"Lambda Upsilon Lambda Fraternity, Inc.",Not Started,4,In Progress,CalGreeks,https://callink.berkeley.edu/actioncenter/organization/LUL,LEAD Center Category: CalGreeks Multicultural Greek Council (MCGC) Fraternities & Sororities,CalGreeks Advisor Jeffery Woods at jeff.woods@berkeley.edu
325449,Landscope at Berkeley,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/landscope,LEAD Center Category: Service RSO,Emily Enriquez at emilyenriquez@berkeley.edu
325448,Language Exchange Association,Not Started,1,In Progress,NEW ORG PENDING FINAL COMPLETION OF APPROVAL STEPS,https://callink.berkeley.edu/actioncenter/organization/languageexchangeassociation,LEAD Center Category: Cultural & Identity/International RSO,Melissa Landeros at melissalanderos@berkeley.edu
45998,Laotian American Student Representatives,Approved,7,Yes,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/LASR,LEAD Center Category: Cultural & Identity/Cultural & Ethnic RSO,Melissa Landeros at melissalanderos@berkeley.edu
343333,Laptop Orchestra at Berkeley,Not Started,0,In Progress,NEW ORG PENDING FINAL COMPLETION OF APPROVAL STEPS,https://callink.berkeley.edu/actioncenter/organization/laptoporchestra,LEAD Center Category: Performing Arts RSO,Luly Sbeta at wsbeta@berkeley.edu
73002,Latin America Caucus,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/galac,LEAD Center Category: Cultural & Identity/International RSO,Jon Rey (Grad RSO OASIS Advisor) at jonrey@berkeley.edu
289712,Latin American History Working Group,Not Started,0,In Progress,NEW ORG PENDING FINAL COMPLETION OF APPROVAL STEPS,https://callink.berkeley.edu/actioncenter/organization/LatinAmericanHistoryWorkingGroup,LEAD Center Category: Graduate Student RSO,Jon Rey (Grad RSO OASIS Advisor) at jonrey@berkeley.edu
125268,Latin American Leadership Society,Approved,5,Yes,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/LLS,LEAD Center Category: Cultural & Identity/Cultural & Ethnic RSO,Melissa Landeros at melissalanderos@berkeley.edu
60050,Latin American Studies Student Organization,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/lasso,LEAD Center Category: Cultural & Identity/International RSO,Melissa Landeros at melissalanderos@berkeley.edu
91904,"Latin@ Caucus of the School of Social Welfare, The",Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/latino-acaucus,OASIS Center Category: Academic RSO,Jon Rey (Grad RSO OASIS Advisor) at jonrey@berkeley.edu
91288,Latin@ Sociological Association,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/lsass,OASIS Center Category: Academic RSO,Jon Rey at jonrey@berkeley.edu
59585,Latin Caucus,Not Started,0,In Progress,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/latinecaucus,LEAD Center Category: Cultural & Identity/Cultural & Ethnic RSO,Melissa Landeros at melissalanderos@berkeley.edu
46000,Latine Pre-Law Society (formerly known as Latinx Pre-Law Society),Approved,5,Yes,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/latineprelawsociety,LEAD Center Category: Professional RSO,Jon Rey at jonrey@berkeley.edu
91788,Latino Christian Fellowship,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/latinochristianfellowship,LEAD Center Category: Spiritual RSO,Millicent Morris-Chaney at millicen@berkeley.edu
91469,Latino Pre-Medical Student Association,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/LPMSA,LEAD Center Category: Professional RSO,Jon Rey at jonrey@berkeley.edu
46671,Latino Speakers at Goldman,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/galatinospeakersatgoldman,LEAD Center Category: Graduate Student RSO,Jon Rey (Grad RSO OASIS Advisor) at jonrey@berkeley.edu
46553,Latino/a Association of Graduate Students in Engineering and Science,Approved,5,Yes,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/LAGSES,LEAD Center Category: Graduate Student RSO,Jon Rey (Grad RSO OASIS Advisor) at jonrey@berkeley.edu
46609,Latino/a Undergraduate Mentorship Program in Public Policy,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/galatinoaundergraduatementorshipprograminpublicpolicy,OASIS Center Category: Academic RSO,Jon Rey (Grad RSO OASIS Advisor) at jonrey@berkeley.edu
341791,Latinos In Law at Berkeley,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/latinosinlaw,LEAD Center Category: Professional RSO,Jon Rey at jonrey@berkeley.edu
236546,LatinUS,Not Started,0,In Progress,NEW ORG PENDING FINAL COMPLETION OF APPROVAL STEPS,https://callink.berkeley.edu/actioncenter/organization/LatinUS,LEAD Center Category: Media & Publications RSO,Melissa Landeros at melissalanderos@berkeley.edu
193473,Latinx Alumni Ambassadors,Not Started,0,In Progress,NEW ORG PENDING FINAL COMPLETION OF APPROVAL STEPS,https://callink.berkeley.edu/actioncenter/organization/claa,LEAD Center Category: Cultural & Identity/Cultural & Ethnic RSO,Melissa Landeros at melissalanderos@berkeley.edu
91289,Latinx Business Student Association,Approved,3,In Progress,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/ucblbsa,OASIS Center Category: Academic RSO,Jon Rey at jonrey@berkeley.edu
324377,Latinx in Public Policy,Not Started,0,In Progress,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/lipp,LEAD Center Category: Graduate Student RSO,Jon Rey (Grad RSO OASIS Advisor) at jonrey@berkeley.edu
322283,Latinx Social Work Caucus,Approved,4,Yes,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/latinxsocialworkcaucus,LEAD Center Category: Graduate Student RSO,Jon Rey (Grad RSO OASIS Advisor) at jonrey@berkeley.edu
322111,Latinx Student Association at Berkeley,Not Started,1,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/latinxstudentassociation,LEAD Center Category: Cultural & Identity/Cultural & Ethnic RSO,Melissa Landeros at melissalanderos@berkeley.edu
91940,Latinx Undergraduates Comprometidxs en Servicio,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/luces,LEAD Center Category: Service RSO,Emily Enriquez at emilyenriquez@berkeley.edu
165841,Latinxs in Education,Not Started,0,In Progress,NEW ORG PENDING FINAL COMPLETION OF APPROVAL STEPS,https://callink.berkeley.edu/actioncenter/organization/LED,LEAD Center Category: Service RSO,Emily Enriquez at emilyenriquez@berkeley.edu
163843,Launchpad,Approved,4,In Progress,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/launchpad,LEAD Center Category: Professional RSO,Jon Rey at jonrey@berkeley.edu
351508,Laundry Love,Inprogress,0,In Progress,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/laundrylove,LEAD Center Category: Spiritual RSO,Luly Sbeta at wsbeta@berkeley.edu
63024,Laundry Love Project,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/laundryloveproject,LEAD Center Category: Spiritual RSO,Luly Sbeta at wsbeta@berkeley.edu
333498,Lavender Alliance at Berkeley,Approved,4,Yes,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/lavenderalliance,LEAD Center Category: LGBTQ+ RSO,Vic Sanchez atvictor.sanchez@berkeley.edu
91505,Law and Business Society at Berkeley,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/Lawandbusinesssociety,OASIS Center Category: Academic RSO,Jon Rey at jonrey@berkeley.edu
91307,Law and Political Economy Society of Berkeley,Approved,6,Yes,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/lpesoc,LEAD Center Category: Graduate Student RSO,Jon Rey (Grad RSO OASIS Advisor) at jonrey@berkeley.edu
46362,Law and Society Graduate Association,Approved,4,Yes,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/LSGA,LEAD Center Category: Graduate Student RSO,Jon Rey (Grad RSO OASIS Advisor) at jonrey@berkeley.edu
302884,Law Students for Climate Accountability at Berkeley,Approved,4,In Progress,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/LSCA,LEAD Center Category: Graduate Student RSO,Jon Rey (Grad RSO OASIS Advisor) at jonrey@berkeley.edu
324634,Law Students for Immigrant Justice at Berkeley,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/lawstudentsforimmigrantjustice,LEAD Center Category: Graduate Student RSO,Jon Rey (Grad RSO OASIS Advisor) at jonrey@berkeley.edu
127071,Law Students for Justice in Palestine,Approved,4,Yes,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/LSJP,LEAD Center Category: Graduate Student RSO,Luly Sbeta at wsbeta@berkeley.edu
46558,Law Students of African Descent,Approved,5,Yes,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/galawstudentsofafricandescent,LEAD Center Category: Graduate Student RSO,B.B. Bradley (Black/AfAm RSOs) at bradleyb@berkeley.edu
343929,Lawn Review at Berkeley Law,Not Started,0,In Progress,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/lawnreview,LEAD Center Category: Graduate Student RSO,Jon Rey (Grad RSO OASIS Advisor) at jonrey@berkeley.edu
163422,Lawyers Without Borders Student Division at UC Berkeley,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/LWOB,LEAD Center Category: Professional RSO,Jon Rey at jonrey@berkeley.edu
117506,Laya of Berkeley,Approved,4,Yes,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/layaofberkeley,LEAD Center Category: Performing Arts RSO,Luly Sbeta at wsbeta@berkeley.edu
